ligand,affinity_kcal_per_mol,dock_rank,prob_active,cls_rank,pred_pIC50,reg_rank,consensus_score
methyl,-6.711,165.0,0.3664578813636479,73.0,5.222154471536609,194.0,152.4
methyl,-6.711,165.0,0.5038741652743562,16.0,5.1558807407916944,251.0,152.4
methyl,-6.711,165.0,0.3598775645475476,75.0,5.222154471536609,194.0,152.8
methyl,-6.711,165.0,0.2594819874818359,115.0,5.231886042026357,157.0,153.4
methyl,-6.711,165.0,0.3469478209766328,78.0,5.222154471536609,194.0,153.4
methyl,-6.711,165.0,0.2496172793210616,118.0,5.231886042026357,157.0,154.0
methyl,-6.711,165.0,0.2366568610328379,124.0,5.231886042026357,157.0,155.2
methyl,-6.711,165.0,0.3764485945211553,61.0,5.20607984934656,221.0,155.4
methyl,-6.711,165.0,0.2321604123269207,128.0,5.231886042026357,157.0,156.0
methyl,-6.711,165.0,0.2224254165169508,131.0,5.231886042026357,157.0,156.6
artapetalin,-7.467,134.0,0.3837352812848181,58.0,4.998026759663524,323.0,156.60000000000002
methyl,-6.711,165.0,0.3664578813636479,73.0,5.20607984934656,221.0,157.8
methyl,-6.711,165.0,0.3598775645475476,75.0,5.20607984934656,221.0,158.2
methyl,-6.711,165.0,0.2802349247737692,102.0,5.222154471536609,194.0,158.20000000000002
methyl,-6.711,165.0,0.1793104127417383,140.0,5.231886042026357,157.0,158.4
benzyl,-6.892,156.0,0.2153869113840581,135.0,5.224319367649992,190.0,158.6
methyl,-6.711,165.0,0.1692442282387059,141.0,5.231886042026357,157.0,158.6
methyl,-6.711,165.0,0.3469478209766328,78.0,5.20607984934656,221.0,158.8
methyl,-6.711,165.0,0.1618196748943582,143.0,5.231886042026357,157.0,159.0
methyl,-6.711,165.0,0.2746539649724242,109.0,5.222154471536609,194.0,159.6
methyl,-6.711,165.0,0.1372444069390304,146.0,5.231886042026357,157.0,159.6
benzyl,-6.892,156.0,0.1553869113840581,144.0,5.224319367649992,190.0,160.39999999999998
methyl,-6.711,165.0,0.11,150.0,5.231886042026357,157.0,160.4
methyl,-6.711,165.0,0.2594819874818359,115.0,5.222154471536609,194.0,160.8
methyl,-6.711,165.0,0.0685072674267114,152.0,5.231886042026357,157.0,160.8
methyl,-6.711,165.0,0.3764485945211553,61.0,5.1558807407916944,251.0,161.4
methyl,-6.711,165.0,0.2496172793210616,118.0,5.222154471536609,194.0,161.4
benzyl,-6.892,156.0,0.0960279338617658,151.0,5.224319367649992,190.0,161.8
methyl,-6.711,165.0,0.2366568610328379,124.0,5.222154471536609,194.0,162.6
methyl,-6.711,165.0,0.5038741652743562,16.0,5.011733564599385,302.0,162.60000000000002
diphenylpentanoid,-7.413,138.0,0.2522679112111261,117.0,5.096594108702332,285.0,163.2
sootepenol,-7.729,124.0,0.2784810001396965,104.0,4.907336712167891,341.0,163.39999999999998
methyl,-6.711,165.0,0.2321604123269207,128.0,5.222154471536609,194.0,163.4
methyl,-6.711,165.0,0.2802349247737692,102.0,5.20607984934656,221.0,163.60000000000002
methyl,-6.711,165.0,0.3664578813636479,73.0,5.1558807407916944,251.0,163.8
methyl,-6.711,165.0,0.2224254165169508,131.0,5.222154471536609,194.0,164.0
methyl,-6.711,165.0,0.3598775645475476,75.0,5.1558807407916944,251.0,164.2
methyl,-6.711,165.0,0.3469478209766328,78.0,5.1558807407916944,251.0,164.8
methyl,-6.711,165.0,0.2746539649724242,109.0,5.20607984934656,221.0,165.0
ent-subglain,-8.019,105.0,0.2284810001396964,129.0,4.8852413830007775,382.0,165.2
methyl,-6.711,165.0,0.1793104127417383,140.0,5.222154471536609,194.0,165.8
methyl,-6.711,165.0,0.1692442282387059,141.0,5.222154471536609,194.0,166.0
methyl,-6.711,165.0,0.2594819874818359,115.0,5.20607984934656,221.0,166.2
methyl,-6.711,165.0,0.1618196748943582,143.0,5.222154471536609,194.0,166.4
methyl,-6.711,165.0,0.2496172793210616,118.0,5.20607984934656,221.0,166.8
methyl,-6.711,165.0,0.1372444069390304,146.0,5.222154471536609,194.0,167.0
methyl,-6.711,165.0,0.11,150.0,5.222154471536609,194.0,167.8
methyl,-6.711,165.0,0.2366568610328379,124.0,5.20607984934656,221.0,168.0
methyl,-6.711,165.0,0.0685072674267114,152.0,5.222154471536609,194.0,168.20000000000002
methyl,-6.711,165.0,0.2321604123269207,128.0,5.20607984934656,221.0,168.8
